0 0,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       1  0       1  1       1  2       1  3       1  4       1  5       1  6       1  7       1  8       1  9       1  10       1  11       1  12       1  13       1  14       1  15       1  17       2  0       2  1       2  2       2  3       2  4       2  5       2  6       2  7       2  8       3  0       3  1       3  2       3  3       3  4       3  5       4  0       4  1       4  2       4  3       5  0       5  1       5  2       5  3       6  0       6  1       6  2       6  3       7  0       7  1       7  2       8  0       8  1       8  2       9  0      10  0      10  1      11  0      12  0      13  0      14  0      15  0      16  0      17  0      18  0       

1 0,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       1  0       1  1       1  2       1  3       1  4       1  5       1  6       1  7       1  8       1  9       1  10       1  11       1  12       1  13       1  14       1  15       1  16       1  17       1  18       1  19       1  20       1  21       1  22       1  23       1  24       1  25       1  26       1  27       1  29       1  30       1  31       1  32       1  34       1  35       2  0       2  1       2  2       2  3       2  4       2  5       2  6       2  7       2  8       2  9       2  10       2  11       2  12       2  13       2  14       2  17       2  20       2  21       2  22       3  0       3  1       3  2       3  3       3  4       3  5       3  6       3  7       3  8       3  9       3  20       4  0       4  1       4  2       4  3       4  4       4  5       4  6       4  7       4  8       4  10       4  12       4  15       5  0       5  1       5  2       5  3       5  4       5  5       5  6       5  9       6  0       6  1       6  2       6  3       6  4       6  5       7  0       7  1       7  2       7  3       7  5       7  6       8  0       8  1       8  2       8  13       9  0       9  1       9  2       9  3      10  0      10  1      10  2      10  3      11  0      11  1      11  2      11  3      12  0      12  1      12  2      12  3      12  4      13  0      13  1      13  2      13  3      14  0      14  1      14  2      15  0      15  1      16  0      16  1      17  0      17  2      17  4      18  0      18  1      18  4      19  0      19  1      20  0      20  1      21  0      22  0      22  4      23  0      23  1      24  0      25  0      26  0      27  0      28  0      29  0      30  0      31  0      32  0      33  0      34  0      35  0       
1 1,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       1  0       

2 0,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       
2 1,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       1  0       1  1       
2 2,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       1  0       
2 3,  0  0       

3 0,  
3 1,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       0  35       1  0       1  1       1  2       1  3       1  4       1  5       1  6       1  7       1  8       1  10       1  12       1  14       1  15       1  18       1  20       1  24       1  28       2  0       2  1       2  2       2  7       3  0       3  1       3  3       4  0       4  1       4  2       5  0       5  1       5  2       6  0       6  1       7  0       8  0       9  0      10  0      10  1      11  0      11  2      12  0      12  1      13  0      14  0      15  0      16  0      17  0      18  0      22  1       
3 2,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       1  0       1  1       1  2       1  3       1  4       2  0       2  3       3  0       4  0       5  0       6  0       
3 3,  0  0       
3 4,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       1  0       1  1       2  0       
3 5,  0  0       
3 6,  0  0       
3 7,  0  0       

4 0,  
4 1,  
4 2,  
4 3,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       1  0       
4 4,  
4 5,  0  0       
4 6,  0  0       
4 7,  0  0       
4 8,  0  0       0  1       0  2       0  3       0  4       0  5       0  6       0  7       0  8       0  9       0  10       0  11       0  12       0  13       0  14       0  15       0  16       0  17       0  18       0  19       0  20       0  21       0  22       0  23       0  24       0  25       0  26       0  27       0  28       0  29       0  30       0  31       0  32       0  33       0  34       1  0       1  1       1  3       2  0       2  1       2  2       2  4       
4 9,  0  0       
4 10,  0  0       
4 11,  0  0       
4 12,  0  0       
4 13,  0  0       
4 14,  0  0       
4 15,  0  0       

5 0,  
5 1,  
5 2,  
5 3,  
5 4,  
5 5,  
5 6,  
5 7,  0  0       
5 8,  
5 9,  
5 10,  0  0       
5 11,  0  0       
5 12,  0  0       
5 13,  0  0       
5 14,  0  0       
5 15,  0  0       
5 16,  
5 17,  0  0       
5 18,  0  0       
5 19,  0  0       
5 20,  0  0       
5 21,  0  0       
5 22,  0  0       
5 23,  0  0       
5 24,  0  0       
5 25,  0  0       
5 26,  0  0       
5 27,  0  0       
5 28,  0  0       
5 29,  0  0       
5 30,  0  0       
5 31,  0  0
