#
# Décodage sans SPC
#
SNR    FER_f              FER_e    CTght  SimSec
-15.00 0.9989300000000000 9.99e-01 371.96      1
-14.50 0.9933999999999999 9.93e-01 215.05      1
-14.00 0.9714000000000000 9.71e-01 164.57      2
-13.50 0.9043300000000000 9.04e-01 187.37      2
-13.00 0.7465600000000000 7.47e-01 172.32      2
-12.50 0.5105100000000000 5.11e-01 203.63      2
-12.00 0.2716400000000000 2.72e-01 197.69      2
-11.50 0.1054800000000000 1.05e-01 183.99      2
-11.00 0.0311300000000000 3.11e-02 197.21      2
-10.50 0.0052800000000000 5.28e-03 189.90      2
-10.00 0.0008666666666667 8.67e-04 196.84      6
 -9.50 0.0001250000000000 1.25e-04 207.90     31
 -9.00 0.0000105820105820 1.06e-05 211.56    370
 -8.50 0.0000018600000000 1.86e-06 216.99   1922
 -8.00 0.0000009200000000 9.20e-07 208.04   1902
#
# Décodage avec SPC
#
SNR    FER_f              FER_e    CTght  SimSec
-15.00 0.9991700000000000 9.99e-01 390.43      1
-14.50 0.9950100000000000 9.95e-01 420.81      1
-14.00 0.9768700000000000 9.77e-01 386.87      1
-13.50 0.9193600000000000 9.19e-01 405.64      1
-13.00 0.7784500000000000 7.78e-01 386.57      1
-12.50 0.5571000000000000 5.57e-01 413.11      1
-12.00 0.3163500000000000 3.16e-01 394.29      1
-11.50 0.1394100000000000 1.39e-01 372.98      1
-11.00 0.0486800000000000 4.87e-02 238.19      1
-10.50 0.0076100000000000 7.61e-03 211.50      2
-10.00 0.0010350000000000 1.03e-03 226.86      3
 -9.50 0.0001584615384615 1.58e-04 226.81     25
 -9.00 0.0000115606936416 1.16e-05 224.59    334
 -8.50 0.0000018100000000 1.81e-06 231.97   1875
 -8.00 0.0000009600000000 9.60e-07 203.88   1877
